x_estimate,y_estimate,z_estimate,battery_voltage
0.55,0.6,-0.34,4.08563089370728
0.56,0.61,-0.34,4.08563089370728
0.56,0.62,-0.33,4.08563089370728
0.56,0.62,-0.34,4.09090948104858
0.56,0.62,-0.34,4.09618806838989
0.57,0.62,-0.34,4.09618806838989
0.57,0.62,-0.34,4.09090948104858
0.57,0.62,-0.34,4.08563089370728
0.57,0.62,-0.34,4.08563089370728
0.57,0.63,-0.34,4.08035230636597
0.57,0.62,-0.34,4.08035230636597
0.57,0.63,-0.34,4.08563089370728
0.57,0.63,-0.32,4.08563089370728
0.56,0.63,-0.31,4.09090948104858
0.57,0.64,-0.31,4.09090948104858
0.57,0.64,-0.31,4.09090948104858
0.56,0.64,-0.31,4.09090948104858
0.56,0.63,-0.31,4.08563089370728
0.56,0.64,-0.31,4.08035230636597
0.57,0.65,-0.31,4.08035230636597
0.57,0.65,-0.32,4.08035230636597
0.57,0.65,-0.32,4.08035230636597
0.57,0.66,-0.33,4.08563089370728
0.58,0.66,-0.33,4.09090948104858
0.57,0.66,-0.33,4.09090948104858
0.58,0.65,-0.33,4.09618806838989
0.57,0.66,-0.33,4.09618806838989
0.57,0.66,-0.33,4.08563089370728
0.58,0.66,-0.33,4.08563089370728
0.57,0.67,-0.33,4.08035230636597
0.58,0.66,-0.32,4.08563089370728
0.58,0.67,-0.33,4.08563089370728
0.57,0.67,-0.32,4.08563089370728
0.57,0.67,-0.32,4.09090948104858
0.57,0.67,-0.32,4.09090948104858
0.57,0.66,-0.31,4.09618806838989
0.57,0.66,-0.32,4.09090948104858
0.57,0.66,-0.32,4.08563089370728
0.57,0.66,-0.31,4.08563089370728
0.57,0.66,-0.31,4.08563089370728
0.57,0.66,-0.31,4.08035230636597
0.57,0.67,-0.31,4.08563089370728
0.57,0.67,-0.31,4.09090948104858
0.57,0.67,-0.31,4.09618806838989
0.57,0.67,-0.31,4.09618806838989
0.58,0.67,-0.3,4.09090948104858
0.58,0.67,-0.3,4.09090948104858
0.57,0.68,-0.3,4.08563089370728
0.57,0.68,-0.31,4.08035230636597
0.57,0.68,-0.31,4.08035230636597
0.57,0.68,-0.31,4.08035230636597
0.57,0.68,-0.32,4.08563089370728
0.57,0.68,-0.32,4.08563089370728
0.57,0.67,-0.32,4.09090948104858
0.57,0.68,-0.32,4.09618806838989
0.58,0.67,-0.31,4.09090948104858
0.58,0.68,-0.31,4.09090948104858
0.58,0.68,-0.31,4.08563089370728
0.58,0.68,-0.31,4.08035230636597
0.58,0.67,-0.31,4.08035230636597
0.58,0.67,-0.31,4.08035230636597
0.58,0.68,-0.31,4.08563089370728
0.58,0.68,-0.31,4.08563089370728
0.58,0.69,-0.31,4.08563089370728
0.58,0.69,-0.32,4.09090948104858
0.58,0.69,-0.32,4.09618806838989
0.58,0.69,-0.32,4.09090948104858
0.58,0.68,-0.31,4.08563089370728
0.58,0.68,-0.32,4.08563089370728
0.58,0.68,-0.32,4.08035230636597
0.58,0.68,-0.31,4.08035230636597
0.58,0.69,-0.31,4.08563089370728
0.58,0.69,-0.31,4.09090948104858
0.58,0.69,-0.31,4.09618806838989
0.58,0.69,-0.3,4.09618806838989
0.58,0.69,-0.3,4.09090948104858
0.58,0.69,-0.3,4.09090948104858
0.58,0.69,-0.3,4.08563089370728
0.58,0.69,-0.31,4.08035230636597
0.58,0.69,-0.31,4.08035230636597
0.58,0.69,-0.31,4.08035230636597
0.58,0.69,-0.3,4.08563089370728
0.58,0.7,-0.29,4.08563089370728
0.58,0.7,-0.29,4.09090948104858
0.58,0.7,-0.29,4.09090948104858
0.57,0.7,-0.29,4.09090948104858
0.58,0.7,-0.29,4.09090948104858
0.58,0.69,-0.29,4.09090948104858
0.57,0.7,-0.29,4.08563089370728
0.57,0.7,-0.29,4.08035230636597
0.57,0.7,-0.29,4.08563089370728
0.57,0.7,-0.29,4.09090948104858
0.57,0.7,-0.29,4.09090948104858
0.57,0.7,-0.3,4.09090948104858
0.57,0.69,-0.3,4.09618806838989
0.57,0.69,-0.3,4.09618806838989
0.57,0.69,-0.3,4.09090948104858
0.57,0.69,-0.3,4.08563089370728
0.57,0.69,-0.3,4.08563089370728
0.57,0.69,-0.29,4.08035230636597
0.56,0.69,-0.29,4.08035230636597
0.56,0.69,-0.29,3.99589467048645
0.56,0.69,-0.29,3.4944281578064
0.56,0.69,-0.29,3.40469217300415
0.56,0.69,-0.29,3.40469217300415
0.56,0.69,-0.29,3.33607053756714
0.56,0.69,-0.29,3.34662771224976
0.56,0.69,-0.28,3.34662771224976
0.56,0.69,-0.27,3.37829923629761
0.56,0.69,-0.27,3.41524934768677
0.56,0.69,-0.27,3.41524934768677
0.56,0.69,-0.27,3.46803522109985
0.56,0.69,-0.27,3.50498533248901
0.56,0.68,-0.27,3.54193544387817
0.56,0.69,-0.27,3.58944296836853
0.55,0.69,-0.27,3.62111449241638
0.55,0.69,-0.27,3.62111449241638
0.56,0.69,-0.27,3.631671667099
0.56,0.69,-0.27,3.58416438102722
0.56,0.7,-0.27,3.5736072063446
0.55,0.7,-0.28,3.56305003166199
0.55,0.7,-0.28,3.5683286190033
0.56,0.7,-0.29,3.5683286190033
0.56,0.7,-0.29,3.55777144432068
0.56,0.71,-0.29,3.55249285697937
0.56,0.71,-0.29,3.53665685653687
0.56,0.71,-0.29,3.52082109451294
0.56,0.71,-0.29,3.51026391983032
0.56,0.71,-0.29,3.51026391983032
0.56,0.7,-0.29,3.48914957046509
0.56,0.71,-0.29,3.48387098312378
0.56,0.71,-0.29,3.47331380844116
0.56,0.72,-0.29,3.46803522109985
0.56,0.71,-0.29,3.46803522109985
0.56,0.72,-0.28,3.46803522109985
0.56,0.72,-0.29,3.46275663375854
0.56,0.71,-0.29,3.45747804641724
0.56,0.71,-0.29,3.44692087173462
0.56,0.71,-0.29,3.43108510971069
0.56,0.71,-0.29,3.42052793502808
0.56,0.71,-0.29,3.42052793502808
0.56,0.7,-0.29,3.40997076034546
0.56,0.72,-0.28,3.40469217300415
0.56,0.72,-0.28,3.39413499832153
0.56,0.72,-0.29,3.38885641098022
0.56,0.72,-0.29,3.37829923629761
0.56,0.72,-0.28,3.37829923629761
0.56,0.72,-0.28,3.37829923629761
0.56,0.72,-0.27,3.36246347427368
0.56,0.72,-0.27,3.36246347427368
0.57,0.72,-0.27,3.35190629959106
0.57,0.72,-0.27,3.35190629959106
0.57,0.72,-0.27,3.35190629959106
0.57,0.72,-0.26,3.34662771224976
0.57,0.73,-0.26,3.35190629959106
0.57,0.72,-0.24,3.34662771224976
0.58,0.72,-0.23,3.34134912490845
0.58,0.72,-0.23,3.35190629959106
0.58,0.72,-0.22,3.35190629959106
0.58,0.72,-0.22,3.34662771224976
0.59,0.71,-0.22,3.34662771224976
0.59,0.72,-0.21,3.34662771224976
0.59,0.72,-0.21,3.35190629959106
0.59,0.71,-0.19,3.35718488693237
0.59,0.72,-0.19,3.35718488693237
0.59,0.71,-0.18,3.35718488693237
0.6,0.72,-0.17,3.36246347427368
0.59,0.71,-0.16,3.36774206161499
0.6,0.71,-0.16,3.36246347427368
0.6,0.71,-0.16,3.36774206161499
0.6,0.71,-0.15,3.36774206161499
0.6,0.7,-0.14,3.3730206489563
0.6,0.7,-0.14,3.38357782363892
0.6,0.69,-0.12,3.39413499832153
0.6,0.69,-0.12,3.39941358566284
0.6,0.69,-0.11,3.40997076034546
0.6,0.69,-0.1,3.40997076034546
0.6,0.68,-0.1,3.40997076034546
0.6,0.67,-0.09,3.41524934768677
0.6,0.68,-0.08,3.42052793502808
0.6,0.67,-0.07,3.42580652236938
0.61,0.67,-0.06,3.43108510971069
0.61,0.67,-0.05,3.43108510971069
0.61,0.67,-0.03,3.436363697052
0.61,0.67,-0.02,3.44164228439331
0.61,0.66,-0.01,3.44692087173462
0.61,0.66,-0.0,3.45219945907593
0.61,0.65,0.01,3.44692087173462
0.61,0.65,0.02,3.44692087173462
0.62,0.65,0.03,3.44692087173462
0.62,0.65,0.05,3.46275663375854
0.62,0.65,0.06,3.48387098312378
0.62,0.64,0.07,3.49970674514771
0.63,0.65,0.09,3.49970674514771
0.63,0.65,0.1,3.49970674514771
0.63,0.65,0.12,3.51026391983032
0.63,0.65,0.12,3.52082109451294
0.63,0.65,0.14,3.53137826919556
0.64,0.65,0.15,3.53665685653687
0.64,0.65,0.16,3.54721426963806
0.64,0.64,0.18,3.54721426963806
0.64,0.64,0.18,3.56305003166199
0.64,0.64,0.2,3.5683286190033
0.65,0.63,0.22,3.58416438102722
0.64,0.63,0.22,3.58944296836853
0.65,0.63,0.23,3.59472155570984
0.65,0.63,0.25,3.59472155570984
0.65,0.63,0.26,3.58416438102722
0.65,0.62,0.27,3.5736072063446
0.65,0.62,0.28,3.58416438102722
0.65,0.62,0.3,3.58416438102722
0.65,0.62,0.31,3.58416438102722
0.65,0.62,0.32,3.58416438102722
0.65,0.62,0.32,3.58416438102722
0.65,0.62,0.33,3.58416438102722
0.66,0.61,0.34,3.56305003166199
0.66,0.62,0.35,3.56305003166199
0.66,0.61,0.36,3.52609968185425
0.66,0.62,0.36,3.52609968185425
0.66,0.61,0.37,3.52609968185425
0.66,0.61,0.38,3.50498533248901
0.66,0.61,0.39,3.4944281578064
0.66,0.61,0.39,3.50498533248901
0.66,0.62,0.4,3.51026391983032
0.66,0.61,0.41,3.51026391983032
0.66,0.61,0.42,3.51026391983032
0.65,0.61,0.42,3.49970674514771
0.66,0.61,0.43,3.4944281578064
0.65,0.6,0.43,3.48914957046509
0.65,0.6,0.43,3.47859239578247
0.65,0.6,0.44,3.47859239578247
0.64,0.6,0.44,3.47859239578247
0.64,0.6,0.45,3.47331380844116
0.64,0.59,0.45,3.48387098312378
0.64,0.59,0.46,3.49970674514771
0.63,0.59,0.46,3.4944281578064
0.63,0.59,0.46,3.4944281578064
0.63,0.59,0.46,3.4944281578064
0.62,0.59,0.46,3.4944281578064
0.62,0.59,0.46,3.48914957046509
0.62,0.59,0.46,3.47331380844116
0.62,0.59,0.46,3.46803522109985
0.62,0.59,0.46,3.46275663375854
