x_estimate,y_estimate,z_estimate,battery_voltage
-0.73,0.82,0.36,3.75835776329041
-0.73,0.82,0.37,3.75835776329041
-0.73,0.81,0.37,3.74780058860779
-0.69,0.81,0.36,3.74780058860779
-0.68,0.82,0.33,3.74780058860779
-0.65,0.81,0.33,3.74780058860779
-0.58,0.8,0.31,3.74780058860779
-0.58,0.8,0.31,3.7530791759491
-0.58,0.8,0.31,3.7530791759491
-0.56,0.81,0.29,3.75835776329041
-0.54,0.8,0.29,3.75835776329041
-0.53,0.79,0.29,3.75835776329041
-0.54,0.8,0.29,3.7530791759491
-0.5,0.8,0.27,3.74780058860779
-0.57,0.82,0.29,3.74780058860779
-0.55,0.81,0.29,3.74780058860779
-0.54,0.81,0.29,3.74780058860779
-0.52,0.8,0.27,3.7530791759491
-0.49,0.79,0.26,3.7530791759491
-0.48,0.8,0.24,3.75835776329041
-0.46,0.79,0.25,3.75835776329041
-0.45,0.79,0.25,3.7530791759491
-0.46,0.79,0.25,3.7530791759491
-0.43,0.78,0.24,3.74780058860779
-0.43,0.78,0.23,3.74780058860779
-0.38,0.78,0.22,3.74780058860779
-0.46,0.79,0.25,3.7530791759491
-0.46,0.79,0.24,3.7530791759491
-0.51,0.8,0.27,3.7530791759491
-0.51,0.8,0.26,3.7530791759491
-0.51,0.79,0.27,3.75835776329041
-0.49,0.81,0.25,3.75835776329041
-0.47,0.8,0.25,3.7530791759491
-0.43,0.79,0.24,3.74780058860779
-0.43,0.79,0.23,3.74780058860779
-0.41,0.78,0.22,3.74780058860779
-0.54,0.81,0.26,3.7530791759491
-0.52,0.8,0.26,3.7530791759491
-0.51,0.8,0.26,3.7530791759491
-0.51,0.8,0.26,3.75835776329041
-0.48,0.8,0.25,3.75835776329041
-0.47,0.8,0.23,3.75835776329041
-0.45,0.79,0.23,3.7530791759491
-0.45,0.79,0.23,3.74780058860779
-0.45,0.79,0.22,3.74780058860779
-0.44,0.79,0.23,3.74780058860779
-0.45,0.79,0.22,3.74780058860779
-0.45,0.78,0.22,3.7530791759491
-0.44,0.78,0.22,3.7530791759491
-0.44,0.78,0.22,3.75835776329041
-0.41,0.77,0.22,3.75835776329041
-0.4,0.77,0.22,3.7530791759491
-0.39,0.77,0.21,3.7530791759491
-0.52,0.8,0.28,3.74780058860779
-0.52,0.8,0.27,3.74780058860779
-0.64,0.82,0.34,3.74780058860779
-0.64,0.82,0.33,3.7530791759491
-0.65,0.82,0.32,3.7530791759491
-0.61,0.81,0.3,3.7530791759491
-0.59,0.8,0.3,3.75835776329041
-0.55,0.8,0.28,3.75835776329041
-0.56,0.79,0.28,3.7530791759491
-0.53,0.79,0.26,3.7530791759491
-0.52,0.77,0.24,3.74780058860779
-0.5,0.77,0.24,3.74780058860779
-0.47,0.77,0.22,3.74780058860779
-0.47,0.76,0.22,3.74780058860779
-0.46,0.76,0.23,3.7530791759491
-0.46,0.75,0.23,3.7530791759491
-0.46,0.75,0.23,3.75835776329041
-0.43,0.74,0.22,3.75835776329041
-0.43,0.75,0.22,3.7530791759491
-0.41,0.74,0.22,3.7530791759491
-0.41,0.75,0.22,3.7530791759491
-0.53,0.76,0.28,3.74780058860779
-0.51,0.76,0.28,3.7530791759491
-0.51,0.76,0.28,3.7530791759491
-0.56,0.76,0.32,3.7530791759491
-0.56,0.77,0.32,3.75835776329041
-0.65,0.79,0.37,3.75835776329041
-0.58,0.77,0.35,3.7530791759491
-0.59,0.78,0.34,3.7530791759491
-0.62,0.79,0.37,3.7530791759491
-0.63,0.79,0.36,3.7530791759491
-0.61,0.78,0.34,3.74780058860779
-0.58,0.78,0.33,3.74780058860779
-0.58,0.79,0.33,3.7530791759491
-0.67,0.8,0.38,3.7530791759491
-0.68,0.8,0.38,3.7530791759491
-0.65,0.8,0.36,3.75835776329041
-0.65,0.8,0.36,3.75835776329041
-0.66,0.8,0.35,3.7530791759491
-0.61,0.8,0.33,3.7530791759491
-0.62,0.79,0.33,3.74780058860779
-0.59,0.79,0.32,3.74780058860779
-0.59,0.78,0.32,3.74780058860779
-0.6,0.78,0.32,3.74780058860779
-0.55,0.78,0.3,3.7530791759491
-0.55,0.78,0.3,3.7530791759491
-0.52,0.78,0.29,3.75835776329041
-0.52,0.77,0.28,3.75835776329041
-0.52,0.76,0.29,3.7530791759491
-0.61,0.78,0.34,3.7530791759491
-0.61,0.78,0.33,3.4944281578064
-0.61,0.79,0.33,3.35718488693237
-0.62,0.78,0.33,3.32023477554321
-0.62,0.77,0.33,3.32023477554321
-0.62,0.77,0.33,3.32023477554321
-0.61,0.78,0.34,3.33607053756714
-0.61,0.78,0.33,3.36246347427368
-0.62,0.79,0.33,3.39413499832153
-0.59,0.78,0.33,3.41524934768677
-0.72,0.8,0.39,3.41524934768677
-0.68,0.8,0.38,3.42580652236938
-0.69,0.8,0.38,3.436363697052
-0.69,0.81,0.38,3.46275663375854
-0.65,0.81,0.36,3.48914957046509
-0.75,0.82,0.42,3.49970674514771
-0.75,0.83,0.42,3.49970674514771
-0.74,0.82,0.43,3.50498533248901
-0.73,0.82,0.42,3.52609968185425
-0.7,0.82,0.39,3.53137826919556
-0.69,0.83,0.37,3.53665685653687
-0.67,0.82,0.37,3.52609968185425
-0.66,0.83,0.35,3.52609968185425
-0.67,0.83,0.35,3.52082109451294
-0.6,0.83,0.33,3.50498533248901
-0.59,0.84,0.31,3.49970674514771
-0.57,0.83,0.3,3.48914957046509
-0.55,0.82,0.31,3.47859239578247
-0.56,0.82,0.31,3.47859239578247
-0.66,0.84,0.36,3.46275663375854
-0.67,0.84,0.36,3.46275663375854
-0.63,0.82,0.33,3.47859239578247
-0.62,0.83,0.31,3.47331380844116
-0.59,0.83,0.3,3.46803522109985
-0.68,0.84,0.35,3.46803522109985
-0.68,0.85,0.34,3.45219945907593
-0.75,0.87,0.37,3.45219945907593
