x_estimate,y_estimate,z_estimate,battery_voltage
0.7,0.65,-0.43,4.05395936965942
0.7,0.65,-0.43,4.04868078231812
0.7,0.66,-0.43,4.04868078231812
0.7,0.65,-0.43,4.04868078231812
0.7,0.65,-0.43,4.05395936965942
0.7,0.66,-0.41,4.05923795700073
0.7,0.66,-0.42,4.05923795700073
0.7,0.65,-0.42,4.05923795700073
0.7,0.65,-0.42,4.05923795700073
0.7,0.65,-0.42,4.05923795700073
0.7,0.65,-0.42,4.05395936965942
0.7,0.65,-0.42,4.04868078231812
0.7,0.65,-0.42,4.04868078231812
0.7,0.67,-0.42,4.05395936965942
0.69,0.67,-0.42,4.05923795700073
0.69,0.67,-0.41,4.05923795700073
0.69,0.67,-0.42,4.05923795700073
0.69,0.67,-0.41,4.05923795700073
0.69,0.67,-0.41,4.05923795700073
0.7,0.67,-0.4,4.05395936965942
0.7,0.67,-0.4,4.04868078231812
0.69,0.67,-0.4,4.04868078231812
0.68,0.68,-0.41,4.04868078231812
0.68,0.69,-0.41,4.04868078231812
0.68,0.68,-0.41,4.05395936965942
0.68,0.69,-0.4,4.05923795700073
0.67,0.69,-0.41,4.06451654434204
0.67,0.69,-0.42,4.05923795700073
0.67,0.7,-0.41,4.05923795700073
0.67,0.69,-0.4,4.05923795700073
0.67,0.68,-0.4,4.05395936965942
0.66,0.68,-0.41,4.04868078231812
0.66,0.68,-0.41,4.05395936965942
0.66,0.68,-0.41,4.05395936965942
0.66,0.68,-0.4,4.05923795700073
0.66,0.68,-0.4,4.05923795700073
0.66,0.68,-0.4,4.05923795700073
0.66,0.68,-0.4,4.06451654434204
0.66,0.68,-0.41,4.05923795700073
0.65,0.69,-0.41,4.05923795700073
0.65,0.69,-0.41,4.05395936965942
0.65,0.69,-0.41,4.04868078231812
0.65,0.69,-0.41,4.04868078231812
0.65,0.69,-0.4,4.05395936965942
0.64,0.69,-0.4,4.05395936965942
0.65,0.69,-0.4,4.05395936965942
0.65,0.69,-0.39,4.05923795700073
0.65,0.68,-0.38,4.05923795700073
0.64,0.69,-0.38,4.05923795700073
0.64,0.7,-0.37,4.05395936965942
0.64,0.7,-0.37,4.04868078231812
0.64,0.71,-0.36,4.04868078231812
0.64,0.71,-0.36,4.04868078231812
0.64,0.71,-0.35,4.05395936965942
0.64,0.72,-0.36,4.05395936965942
0.64,0.72,-0.36,4.05923795700073
0.64,0.71,-0.35,4.05923795700073
0.64,0.71,-0.35,4.05923795700073
0.63,0.72,-0.34,4.05923795700073
0.63,0.72,-0.34,4.05395936965942
0.63,0.72,-0.35,4.05395936965942
0.62,0.72,-0.34,4.04868078231812
0.63,0.72,-0.33,4.05395936965942
0.62,0.72,-0.33,4.05395936965942
0.62,0.72,-0.33,4.05395936965942
0.62,0.72,-0.33,4.05923795700073
0.62,0.72,-0.33,4.05923795700073
0.63,0.71,-0.33,4.05923795700073
0.63,0.71,-0.33,4.05395936965942
0.63,0.71,-0.32,4.05395936965942
0.62,0.71,-0.32,4.05395936965942
0.62,0.72,-0.32,4.05395936965942
0.62,0.71,-0.33,4.04868078231812
0.62,0.71,-0.33,4.05395936965942
0.61,0.72,-0.33,4.05923795700073
0.61,0.72,-0.33,4.05923795700073
0.61,0.72,-0.33,4.05923795700073
0.62,0.72,-0.33,4.05923795700073
0.62,0.72,-0.32,4.05923795700073
0.62,0.72,-0.32,4.05395936965942
0.62,0.72,-0.32,4.05395936965942
0.62,0.72,-0.32,4.04868078231812
0.62,0.72,-0.32,4.04868078231812
0.62,0.72,-0.32,4.05395936965942
0.61,0.73,-0.3,4.05923795700073
0.61,0.73,-0.3,4.05923795700073
0.62,0.72,-0.29,4.05923795700073
0.62,0.73,-0.29,4.05923795700073
0.62,0.72,-0.29,4.05923795700073
0.62,0.72,-0.29,4.05395936965942
0.62,0.72,-0.29,4.05395936965942
0.62,0.72,-0.27,4.04868078231812
0.62,0.72,-0.27,4.05395936965942
0.62,0.72,-0.27,4.05395936965942
0.62,0.72,-0.27,4.05395936965942
0.62,0.72,-0.27,4.05923795700073
0.62,0.72,-0.27,4.05923795700073
0.61,0.72,-0.28,4.05923795700073
0.61,0.72,-0.27,4.05395936965942
0.62,0.71,-0.28,4.05395936965942
0.61,0.71,-0.27,4.05395936965942
0.61,0.72,-0.27,4.05395936965942
0.61,0.73,-0.26,3.68445754051208
0.61,0.73,-0.26,3.58944296836853
0.62,0.72,-0.27,3.53665685653687
0.62,0.72,-0.26,3.53665685653687
0.61,0.72,-0.26,3.54721426963806
0.61,0.73,-0.26,3.55777144432068
0.61,0.72,-0.26,3.58944296836853
0.61,0.72,-0.26,3.61055731773376
0.61,0.73,-0.26,3.63695025444031
0.61,0.72,-0.26,3.63695025444031
0.61,0.73,-0.26,3.65806460380554
0.61,0.73,-0.26,3.68445754051208
0.61,0.73,-0.26,3.70029330253601
0.61,0.73,-0.26,3.71612906455994
0.61,0.72,-0.25,3.72668623924255
0.61,0.72,-0.26,3.72668623924255
0.61,0.72,-0.25,3.73196482658386
0.61,0.72,-0.25,3.73724341392517
0.6,0.73,-0.25,3.73724341392517
