x_estimate,y_estimate,z_estimate,battery_voltage
0.83,0.72,-0.22,4.08563089370728
0.83,0.72,-0.22,4.08563089370728
0.83,0.73,-0.22,4.09618806838989
0.83,0.73,-0.22,4.09618806838989
0.83,0.73,-0.23,4.09090948104858
0.83,0.73,-0.23,4.09090948104858
0.83,0.73,-0.22,4.08563089370728
0.83,0.73,-0.22,4.08563089370728
0.83,0.73,-0.22,4.08035230636597
0.83,0.73,-0.23,4.08563089370728
0.83,0.72,-0.23,4.08563089370728
0.83,0.72,-0.23,4.09090948104858
0.83,0.73,-0.23,4.09618806838989
0.83,0.72,-0.23,4.09618806838989
0.83,0.72,-0.23,4.09618806838989
0.83,0.72,-0.24,4.09090948104858
0.83,0.72,-0.24,4.08563089370728
0.83,0.72,-0.23,4.08035230636597
0.83,0.72,-0.23,4.08035230636597
0.83,0.72,-0.23,4.08035230636597
0.83,0.72,-0.23,4.08563089370728
0.83,0.72,-0.23,4.09090948104858
0.83,0.72,-0.24,4.09618806838989
0.83,0.72,-0.24,4.09618806838989
0.83,0.72,-0.24,4.09090948104858
0.83,0.72,-0.24,4.09090948104858
0.83,0.72,-0.24,4.09090948104858
0.83,0.72,-0.24,4.08563089370728
0.84,0.72,-0.24,4.08563089370728
0.84,0.72,-0.24,4.08563089370728
0.83,0.72,-0.24,4.09090948104858
0.83,0.73,-0.24,4.09090948104858
0.83,0.73,-0.24,4.09618806838989
0.83,0.72,-0.24,4.09618806838989
0.83,0.73,-0.24,4.09090948104858
0.83,0.73,-0.24,4.09090948104858
0.84,0.73,-0.24,4.08563089370728
0.84,0.72,-0.24,4.08563089370728
0.84,0.73,-0.24,4.08563089370728
0.84,0.73,-0.24,4.08563089370728
0.84,0.73,-0.24,4.09090948104858
0.84,0.73,-0.25,4.09618806838989
0.84,0.73,-0.24,4.09618806838989
0.84,0.72,-0.24,4.09618806838989
0.84,0.73,-0.24,4.09618806838989
0.84,0.73,-0.23,4.09090948104858
0.84,0.73,-0.24,4.08563089370728
0.84,0.72,-0.23,4.08035230636597
0.85,0.72,-0.23,4.08035230636597
0.84,0.73,-0.23,4.08035230636597
0.84,0.72,-0.23,4.08563089370728
0.84,0.73,-0.23,4.09090948104858
0.84,0.72,-0.23,4.09618806838989
0.84,0.73,-0.23,4.09618806838989
0.84,0.73,-0.23,4.09090948104858
0.84,0.73,-0.23,4.09090948104858
0.84,0.73,-0.23,4.08563089370728
0.83,0.72,-0.23,4.08035230636597
0.83,0.73,-0.24,4.08035230636597
0.83,0.73,-0.24,4.08563089370728
0.83,0.73,-0.24,4.09090948104858
0.83,0.73,-0.24,4.09090948104858
0.83,0.73,-0.24,4.09618806838989
0.83,0.72,-0.24,4.09618806838989
0.83,0.72,-0.24,4.09090948104858
0.83,0.72,-0.24,4.08563089370728
0.84,0.73,-0.24,4.08035230636597
0.84,0.72,-0.24,4.08035230636597
0.84,0.72,-0.24,4.08035230636597
0.84,0.72,-0.25,4.08563089370728
0.84,0.72,-0.25,4.09090948104858
0.83,0.72,-0.25,4.09090948104858
0.83,0.72,-0.25,4.09618806838989
0.84,0.72,-0.25,4.09618806838989
0.83,0.72,-0.25,4.09618806838989
0.84,0.71,-0.25,4.09090948104858
0.84,0.71,-0.25,4.08563089370728
0.84,0.71,-0.25,4.08035230636597
0.84,0.71,-0.26,4.08563089370728
0.84,0.71,-0.26,4.08563089370728
0.84,0.71,-0.26,4.09090948104858
0.84,0.71,-0.26,4.09090948104858
0.83,0.71,-0.25,4.09618806838989
0.84,0.72,-0.26,4.09618806838989
0.84,0.71,-0.25,4.09090948104858
0.84,0.72,-0.25,4.09090948104858
0.84,0.72,-0.25,4.08563089370728
0.84,0.72,-0.24,4.08035230636597
0.84,0.72,-0.24,4.08035230636597
0.84,0.72,-0.24,4.08035230636597
0.84,0.71,-0.24,4.08563089370728
0.83,0.71,-0.24,4.08563089370728
0.83,0.71,-0.25,4.08563089370728
0.83,0.72,-0.25,4.09090948104858
0.84,0.71,-0.25,4.09618806838989
0.84,0.71,-0.25,4.08563089370728
0.84,0.71,-0.25,4.08563089370728
0.84,0.72,-0.24,4.08035230636597
0.84,0.72,-0.24,4.08035230636597
0.84,0.71,-0.24,4.08035230636597
0.84,0.72,-0.25,4.08035230636597
0.84,0.72,-0.24,4.08563089370728
0.84,0.72,-0.25,4.09090948104858
0.84,0.72,-0.25,3.52082109451294
0.84,0.72,-0.24,3.52082109451294
0.84,0.72,-0.25,3.35718488693237
0.84,0.72,-0.25,3.32023477554321
0.84,0.72,-0.25,3.30439901351929
0.84,0.72,-0.24,3.3149561882019
0.85,0.72,-0.24,3.34662771224976
0.84,0.72,-0.25,3.34662771224976
0.84,0.72,-0.25,3.39941358566284
0.84,0.72,-0.24,3.44692087173462
0.84,0.71,-0.24,3.50498533248901
0.84,0.71,-0.24,3.53665685653687
0.84,0.71,-0.25,3.55777144432068
0.85,0.71,-0.25,3.55777144432068
0.85,0.71,-0.25,3.53665685653687
0.85,0.71,-0.25,3.52082109451294
0.85,0.7,-0.24,3.4944281578064
0.85,0.71,-0.25,3.4944281578064
0.85,0.71,-0.25,3.4944281578064
0.85,0.71,-0.25,3.4944281578064
0.84,0.7,-0.25,3.49970674514771
0.85,0.7,-0.25,3.49970674514771
0.84,0.71,-0.24,3.48914957046509
0.84,0.71,-0.25,3.47859239578247
0.84,0.71,-0.24,3.46275663375854
0.84,0.71,-0.24,3.46275663375854
0.84,0.71,-0.24,3.46275663375854
0.84,0.72,-0.24,3.46275663375854
0.84,0.72,-0.24,3.46803522109985
0.84,0.72,-0.24,3.46803522109985
0.84,0.72,-0.24,3.45747804641724
0.84,0.72,-0.24,3.45747804641724
0.84,0.72,-0.24,3.44692087173462
0.84,0.72,-0.24,3.436363697052
0.84,0.72,-0.24,3.41524934768677
0.84,0.72,-0.24,3.40469217300415
0.84,0.72,-0.23,3.39413499832153
0.84,0.72,-0.23,3.39413499832153
0.84,0.72,-0.23,3.38885641098022
0.84,0.72,-0.23,3.38885641098022
0.84,0.72,-0.23,3.39941358566284
0.85,0.71,-0.22,3.39413499832153
0.85,0.72,-0.22,3.39413499832153
0.85,0.71,-0.22,3.39413499832153
0.85,0.72,-0.22,3.38885641098022
0.85,0.72,-0.22,3.38357782363892
0.85,0.72,-0.22,3.37829923629761
0.86,0.72,-0.22,3.36774206161499
0.86,0.72,-0.22,3.35718488693237
0.86,0.72,-0.21,3.35718488693237
0.86,0.72,-0.21,3.35190629959106
0.86,0.72,-0.21,3.35190629959106
0.86,0.72,-0.21,3.34662771224976
0.86,0.72,-0.2,3.33607053756714
