x_estimate,y_estimate,z_estimate,battery_voltage
0.8,0.86,-0.18,4.11730241775513
0.81,0.86,-0.18,4.11730241775513
0.81,0.86,-0.18,4.11730241775513
0.81,0.86,-0.18,4.11730241775513
0.81,0.86,-0.18,4.11202383041382
0.81,0.86,-0.18,4.10674524307251
0.81,0.86,-0.18,4.11202383041382
0.81,0.86,-0.18,4.11202383041382
0.81,0.87,-0.18,4.11202383041382
0.81,0.87,-0.18,4.11202383041382
0.81,0.87,-0.17,4.11730241775513
0.81,0.87,-0.17,4.11730241775513
0.82,0.87,-0.17,4.11730241775513
0.82,0.87,-0.17,4.11730241775513
0.82,0.88,-0.17,4.11730241775513
0.82,0.88,-0.17,4.11202383041382
0.82,0.88,-0.17,4.11202383041382
0.81,0.88,-0.18,4.11202383041382
0.82,0.88,-0.18,4.11202383041382
0.81,0.88,-0.18,4.11202383041382
0.81,0.88,-0.19,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11202383041382
0.82,0.88,-0.21,4.10674524307251
0.82,0.88,-0.2,4.10674524307251
0.82,0.88,-0.21,4.10674524307251
0.82,0.88,-0.21,4.11202383041382
0.82,0.88,-0.21,4.11202383041382
0.82,0.88,-0.21,4.11730241775513
0.82,0.88,-0.21,4.11730241775513
0.82,0.88,-0.21,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11202383041382
0.82,0.88,-0.2,4.10674524307251
0.82,0.87,-0.2,4.10674524307251
0.82,0.87,-0.2,4.11202383041382
0.82,0.87,-0.2,4.11202383041382
0.82,0.87,-0.2,4.11202383041382
0.82,0.87,-0.21,4.11730241775513
0.82,0.87,-0.21,4.11730241775513
0.82,0.87,-0.21,4.11730241775513
0.82,0.87,-0.22,4.11202383041382
0.82,0.87,-0.21,4.11202383041382
0.82,0.87,-0.21,4.11202383041382
0.83,0.87,-0.21,4.10674524307251
0.83,0.88,-0.21,4.11202383041382
0.83,0.87,-0.21,4.11202383041382
0.82,0.87,-0.2,4.11730241775513
0.82,0.87,-0.2,4.11730241775513
0.82,0.88,-0.2,4.11730241775513
0.81,0.88,-0.21,4.11730241775513
0.81,0.88,-0.2,4.11730241775513
0.81,0.88,-0.2,4.11202383041382
0.81,0.88,-0.2,4.11202383041382
0.81,0.88,-0.19,4.11202383041382
0.81,0.88,-0.19,4.11202383041382
0.81,0.88,-0.19,4.11202383041382
0.81,0.88,-0.2,4.11202383041382
0.81,0.88,-0.2,4.11730241775513
0.81,0.88,-0.2,4.11730241775513
0.81,0.88,-0.2,4.11730241775513
0.8,0.88,-0.2,4.11730241775513
0.8,0.89,-0.21,4.11730241775513
0.8,0.89,-0.21,4.11202383041382
0.8,0.89,-0.21,4.11202383041382
0.8,0.89,-0.21,4.11202383041382
0.8,0.89,-0.21,4.11202383041382
0.8,0.89,-0.21,4.11202383041382
0.8,0.89,-0.22,4.11730241775513
0.8,0.89,-0.22,4.11730241775513
0.79,0.89,-0.22,4.11730241775513
0.79,0.89,-0.22,4.11202383041382
0.8,0.89,-0.22,4.10674524307251
0.79,0.89,-0.22,4.10674524307251
0.79,0.89,-0.21,4.10674524307251
0.79,0.89,-0.22,4.10674524307251
0.79,0.89,-0.22,4.11202383041382
0.78,0.9,-0.22,4.11202383041382
0.78,0.91,-0.22,4.11730241775513
0.79,0.9,-0.23,4.11730241775513
0.79,0.9,-0.23,4.11730241775513
0.79,0.9,-0.23,4.11730241775513
0.79,0.9,-0.23,4.11202383041382
0.78,0.9,-0.23,4.10674524307251
0.79,0.9,-0.23,4.10674524307251
0.78,0.91,-0.23,4.10674524307251
0.78,0.91,-0.22,4.11202383041382
0.78,0.91,-0.22,4.11202383041382
0.77,0.9,-0.21,4.11730241775513
0.78,0.9,-0.21,4.11730241775513
0.78,0.91,-0.21,4.11730241775513
0.78,0.91,-0.2,4.11730241775513
0.78,0.91,-0.21,4.11202383041382
0.78,0.9,-0.21,4.11202383041382
0.78,0.91,-0.21,4.11202383041382
0.78,0.91,-0.21,4.11202383041382
0.78,0.91,-0.21,4.11202383041382
0.78,0.91,-0.21,4.11202383041382
0.78,0.91,-0.2,4.11730241775513
0.78,0.91,-0.2,4.11730241775513
0.78,0.91,-0.2,3.98005890846252
0.78,0.9,-0.2,3.70029330253601
0.78,0.9,-0.2,3.631671667099
0.78,0.9,-0.2,3.631671667099
0.78,0.9,-0.2,3.61055731773376
0.78,0.9,-0.2,3.62639307975769
0.78,0.9,-0.21,3.64750742912292
0.78,0.91,-0.21,3.67390036582947
0.78,0.91,-0.21,3.70029330253601
0.78,0.91,-0.21,3.70029330253601
0.78,0.91,-0.21,3.72140765190125
0.78,0.91,-0.21,3.73724341392517
0.78,0.91,-0.21,3.74252200126648
0.78,0.91,-0.21,3.7530791759491
0.78,0.91,-0.21,3.76363635063171
0.78,0.9,-0.21,3.76363635063171
0.78,0.9,-0.22,3.76891493797302
0.77,0.91,-0.22,3.77947211265564
0.77,0.91,-0.22,3.77947211265564
0.77,0.91,-0.22,3.78475069999695
0.77,0.91,-0.22,3.77947211265564
0.77,0.92,-0.22,3.77947211265564
0.77,0.92,-0.21,3.77947211265564
0.78,0.91,-0.21,3.77947211265564
0.78,0.92,-0.21,3.77419352531433
0.78,0.91,-0.21,3.77947211265564
0.78,0.91,-0.22,3.77947211265564
0.78,0.91,-0.22,3.77947211265564
0.78,0.91,-0.22,3.77419352531433
0.78,0.91,-0.22,3.77419352531433
0.78,0.91,-0.22,3.75835776329041
0.78,0.91,-0.22,3.75835776329041
0.78,0.91,-0.22,3.74780058860779
0.78,0.91,-0.22,3.74780058860779
0.78,0.91,-0.22,3.73724341392517
0.78,0.91,-0.22,3.73196482658386
0.78,0.92,-0.22,3.72668623924255
0.78,0.92,-0.23,3.72140765190125
0.77,0.92,-0.23,3.71085047721863
0.77,0.92,-0.23,3.71085047721863
0.77,0.92,-0.23,3.70557188987732
0.77,0.92,-0.23,3.6950147151947
0.77,0.92,-0.22,3.68973612785339
0.78,0.92,-0.23,3.67917895317078
0.78,0.92,-0.23,3.67917895317078
0.78,0.92,-0.23,3.67917895317078
0.78,0.93,-0.23,3.67390036582947
0.78,0.93,-0.23,3.66862177848816
0.79,0.92,-0.22,3.65806460380554
0.79,0.93,-0.22,3.65278601646423
0.78,0.93,-0.2,3.64750742912292
0.79,0.93,-0.2,3.64750742912292
0.78,0.93,-0.2,3.64222884178162
0.79,0.93,-0.2,3.64750742912292
0.79,0.93,-0.2,3.64222884178162
0.79,0.92,-0.18,3.64750742912292
0.79,0.93,-0.18,3.64750742912292
0.79,0.93,-0.18,3.64750742912292
0.79,0.92,-0.17,3.65278601646423
0.8,0.92,-0.17,3.65806460380554
0.8,0.92,-0.16,3.64750742912292
0.8,0.91,-0.16,3.64222884178162
0.8,0.91,-0.15,3.64222884178162
0.81,0.91,-0.15,3.64222884178162
0.81,0.91,-0.13,3.631671667099
0.82,0.9,-0.13,3.631671667099
0.82,0.9,-0.13,3.63695025444031
0.82,0.9,-0.12,3.64222884178162
0.82,0.89,-0.11,3.64750742912292
0.82,0.89,-0.11,3.64750742912292
0.83,0.89,-0.11,3.65278601646423
0.83,0.89,-0.11,3.65278601646423
0.83,0.89,-0.1,3.65278601646423
0.83,0.88,-0.09,3.64750742912292
0.83,0.88,-0.09,3.64750742912292
0.83,0.88,-0.08,3.64750742912292
0.83,0.87,-0.07,3.65278601646423
0.83,0.87,-0.06,3.65278601646423
0.84,0.87,-0.06,3.66334319114685
0.84,0.86,-0.03,3.66862177848816
0.84,0.86,-0.03,3.67390036582947
0.84,0.87,-0.02,3.67390036582947
0.84,0.87,-0.01,3.67917895317078
0.84,0.87,-0.01,3.67917895317078
0.84,0.86,0.0,3.67917895317078
0.85,0.86,0.01,3.68445754051208
0.85,0.86,0.01,3.68973612785339
0.85,0.86,0.02,3.68973612785339
0.84,0.86,0.03,3.68973612785339
0.84,0.86,0.03,3.68973612785339
0.85,0.87,0.04,3.6950147151947
0.85,0.86,0.05,3.6950147151947
0.84,0.86,0.06,3.6950147151947
0.85,0.87,0.07,3.6950147151947
0.85,0.87,0.08,3.70557188987732
0.85,0.87,0.09,3.71612906455994
0.86,0.87,0.1,3.72668623924255
0.86,0.86,0.12,3.73196482658386
0.86,0.86,0.13,3.74780058860779
0.87,0.86,0.15,3.74780058860779
0.88,0.87,0.16,3.75835776329041
0.87,0.87,0.17,3.76363635063171
0.88,0.87,0.18,3.76891493797302
0.88,0.87,0.19,3.77419352531433
0.88,0.87,0.2,3.77947211265564
0.88,0.87,0.21,3.77947211265564
0.88,0.87,0.22,3.78475069999695
0.88,0.87,0.23,3.79002928733826
0.88,0.86,0.24,3.79002928733826
0.88,0.86,0.25,3.79530787467957
0.88,0.86,0.26,3.79530787467957
0.88,0.85,0.27,3.79530787467957
0.88,0.85,0.28,3.79530787467957
0.88,0.85,0.29,3.79530787467957
0.88,0.85,0.3,3.79002928733826
0.87,0.85,0.3,3.80058646202087
0.87,0.84,0.31,3.80058646202087
0.87,0.84,0.32,3.80058646202087
0.86,0.84,0.33,3.80058646202087
0.86,0.84,0.35,3.80586504936218
0.86,0.84,0.35,3.79530787467957
0.86,0.84,0.36,3.79002928733826
0.86,0.84,0.36,3.79002928733826
0.86,0.83,0.37,3.79002928733826
0.86,0.83,0.37,3.78475069999695
0.85,0.83,0.38,3.79002928733826
0.85,0.83,0.38,3.79530787467957
0.84,0.83,0.38,3.79002928733826
0.84,0.83,0.38,3.78475069999695
0.84,0.83,0.39,3.78475069999695
0.84,0.83,0.39,3.78475069999695
0.84,0.83,0.4,3.77419352531433
0.83,0.83,0.4,3.77419352531433
0.83,0.82,0.39,3.76363635063171
0.82,0.82,0.4,3.76363635063171
0.82,0.82,0.4,3.76363635063171
0.82,0.82,0.41,3.7530791759491
0.81,0.82,0.41,3.7530791759491
0.81,0.82,0.41,3.74252200126648
0.81,0.82,0.41,3.73724341392517
0.8,0.82,0.41,3.73196482658386
0.8,0.83,0.42,3.73196482658386
0.79,0.83,0.42,3.72668623924255
0.79,0.83,0.42,3.72140765190125
0.79,0.83,0.43,3.72140765190125
0.78,0.82,0.42,3.72140765190125
0.78,0.82,0.42,3.72668623924255
0.78,0.83,0.43,3.72668623924255
0.78,0.83,0.43,3.72140765190125
0.78,0.83,0.43,3.72140765190125
0.78,0.83,0.43,3.71612906455994
0.77,0.83,0.43,3.71612906455994
0.77,0.83,0.44,3.71085047721863
0.77,0.84,0.44,3.71085047721863
0.77,0.84,0.43,3.71085047721863
0.76,0.84,0.44,3.71612906455994
0.76,0.84,0.44,3.71612906455994
0.76,0.84,0.45,3.71612906455994
0.75,0.84,0.45,3.71612906455994
0.75,0.84,0.45,3.71612906455994
0.75,0.85,0.46,3.72140765190125
0.75,0.85,0.46,3.72140765190125
0.75,0.85,0.45,3.71612906455994
0.74,0.85,0.46,3.71612906455994
0.74,0.85,0.46,3.71612906455994
0.74,0.85,0.46,3.71612906455994
0.74,0.85,0.46,3.72140765190125
0.74,0.85,0.46,3.72140765190125
0.74,0.86,0.47,3.72668623924255
0.73,0.85,0.46,3.72140765190125
0.73,0.85,0.46,3.72140765190125
0.73,0.85,0.46,3.72140765190125
0.73,0.85,0.46,3.71085047721863
0.72,0.86,0.46,3.70557188987732
0.72,0.86,0.47,3.71085047721863
0.72,0.86,0.47,3.71085047721863
0.72,0.87,0.47,3.71612906455994
0.72,0.87,0.47,3.71612906455994
0.72,0.87,0.47,3.71612906455994
0.71,0.87,0.47,3.71612906455994
0.72,0.87,0.47,3.71612906455994
0.72,0.87,0.47,3.71612906455994
0.72,0.88,0.47,3.71085047721863
0.72,0.88,0.47,3.71085047721863
0.72,0.88,0.47,3.70557188987732
0.72,0.88,0.47,3.71085047721863
0.71,0.88,0.46,3.71085047721863
0.71,0.89,0.46,3.70557188987732
0.71,0.89,0.46,3.70557188987732
0.71,0.89,0.47,3.70557188987732
0.71,0.89,0.47,3.70029330253601
0.71,0.89,0.47,3.6950147151947
0.71,0.9,0.47,3.6950147151947
0.71,0.9,0.47,3.6950147151947
0.71,0.9,0.47,3.70029330253601
0.71,0.9,0.47,3.70029330253601
0.71,0.9,0.47,3.70029330253601
0.71,0.9,0.46,3.70029330253601
0.71,0.9,0.46,3.70029330253601
0.71,0.9,0.47,3.6950147151947
0.71,0.9,0.47,3.6950147151947
0.71,0.9,0.47,3.6950147151947
0.71,0.91,0.47,3.68973612785339
0.71,0.91,0.47,3.68445754051208
0.71,0.91,0.48,3.68973612785339
0.71,0.91,0.47,3.6950147151947
0.72,0.91,0.48,3.70029330253601
0.72,0.91,0.48,3.70029330253601
0.72,0.91,0.49,3.70557188987732
0.72,0.91,0.49,3.71085047721863
0.72,0.91,0.49,3.71612906455994
0.72,0.92,0.49,3.71085047721863
0.72,0.92,0.49,3.70557188987732
0.72,0.92,0.49,3.70557188987732
0.72,0.92,0.49,3.71085047721863
0.72,0.92,0.49,3.71612906455994
0.72,0.92,0.49,3.71612906455994
0.73,0.92,0.49,3.71612906455994
0.73,0.93,0.5,3.71612906455994
0.73,0.93,0.49,3.71612906455994
0.73,0.93,0.49,3.71612906455994
0.73,0.93,0.5,3.71612906455994
0.74,0.93,0.49,3.71612906455994
0.74,0.93,0.49,3.71085047721863
0.74,0.92,0.48,3.71085047721863
0.74,0.92,0.49,3.71085047721863
0.74,0.92,0.49,3.71085047721863
0.74,0.92,0.49,3.70557188987732
0.74,0.92,0.49,3.70557188987732
0.74,0.93,0.5,3.70557188987732
0.74,0.93,0.5,3.70557188987732
0.74,0.93,0.5,3.70029330253601
0.75,0.93,0.5,3.70029330253601
0.75,0.93,0.5,3.6950147151947
0.75,0.93,0.5,3.6950147151947
0.76,0.93,0.49,3.70029330253601
0.75,0.93,0.5,3.6950147151947
0.76,0.93,0.49,3.6950147151947
0.76,0.93,0.5,3.6950147151947
0.76,0.93,0.5,3.6950147151947
0.76,0.93,0.49,3.6950147151947
0.76,0.93,0.25,3.6950147151947
0.76,0.93,0.5,3.68445754051208
0.76,0.93,0.5,3.68445754051208
0.77,0.93,0.5,3.68445754051208
0.77,0.93,0.5,3.68973612785339
0.77,0.94,0.5,3.6950147151947
0.77,0.94,0.5,3.70029330253601
0.77,0.94,0.5,3.70029330253601
0.77,0.94,0.51,3.70557188987732
