x_estimate,y_estimate,z_estimate,battery_voltage
0.56,0.68,-0.32,4.09618806838989
0.57,0.68,-0.32,4.09090948104858
0.57,0.68,-0.31,4.09090948104858
0.57,0.69,-0.31,4.08563089370728
0.57,0.69,-0.32,4.08563089370728
0.56,0.68,-0.32,4.08563089370728
0.57,0.68,-0.32,4.08563089370728
0.56,0.68,-0.32,4.09090948104858
0.57,0.68,-0.32,4.09090948104858
0.57,0.68,-0.31,4.09618806838989
0.57,0.68,-0.31,4.09618806838989
0.56,0.68,-0.32,4.09618806838989
0.56,0.68,-0.31,4.09090948104858
0.56,0.68,-0.32,4.08563089370728
0.56,0.68,-0.32,4.08563089370728
0.56,0.69,-0.32,4.08035230636597
0.56,0.69,-0.32,4.08563089370728
0.56,0.69,-0.32,4.08563089370728
0.56,0.68,-0.32,4.08563089370728
0.56,0.68,-0.33,4.09090948104858
0.56,0.68,-0.33,4.09090948104858
0.56,0.68,-0.33,4.09090948104858
0.55,0.69,-0.33,4.08563089370728
0.55,0.69,-0.33,4.08563089370728
0.55,0.68,-0.33,4.08035230636597
0.55,0.69,-0.34,4.08035230636597
0.54,0.69,-0.34,4.08563089370728
0.54,0.69,-0.34,4.08563089370728
0.54,0.69,-0.34,4.09090948104858
0.53,0.69,-0.35,4.09090948104858
0.54,0.7,-0.35,4.09618806838989
0.53,0.7,-0.35,4.09090948104858
0.53,0.7,-0.35,4.09090948104858
0.53,0.7,-0.35,4.08035230636597
0.53,0.71,-0.35,4.08035230636597
0.53,0.71,-0.34,4.08035230636597
0.53,0.71,-0.35,4.08035230636597
0.54,0.71,-0.34,4.08563089370728
0.54,0.71,-0.34,4.09090948104858
0.54,0.71,-0.34,4.09618806838989
0.54,0.7,-0.34,4.09618806838989
0.54,0.71,-0.35,4.09618806838989
0.55,0.7,-0.35,4.09090948104858
0.55,0.7,-0.35,4.08563089370728
0.54,0.7,-0.35,4.08035230636597
0.54,0.71,-0.35,4.08035230636597
0.54,0.71,-0.36,4.08563089370728
0.54,0.71,-0.36,4.08563089370728
0.54,0.71,-0.36,4.09090948104858
0.53,0.71,-0.37,4.09618806838989
0.54,0.71,-0.37,4.09618806838989
0.53,0.71,-0.38,4.09090948104858
0.54,0.7,-0.37,4.09090948104858
0.54,0.71,-0.37,4.09090948104858
0.54,0.71,-0.37,4.08563089370728
0.54,0.71,-0.38,4.08035230636597
0.53,0.71,-0.39,4.08563089370728
0.53,0.71,-0.39,4.08563089370728
0.53,0.71,-0.39,4.09090948104858
0.53,0.72,-0.39,4.09090948104858
0.53,0.71,-0.39,4.09618806838989
0.53,0.71,-0.39,4.09090948104858
0.53,0.7,-0.39,4.08563089370728
0.53,0.7,-0.39,4.08563089370728
0.53,0.7,-0.39,4.08035230636597
0.53,0.7,-0.39,4.08035230636597
0.53,0.71,-0.39,4.08563089370728
0.53,0.71,-0.39,4.08563089370728
0.53,0.71,-0.39,4.09090948104858
0.53,0.71,-0.39,4.09618806838989
0.53,0.71,-0.39,4.09090948104858
0.53,0.71,-0.4,4.09090948104858
0.53,0.71,-0.4,4.09090948104858
0.53,0.71,-0.4,4.08563089370728
0.53,0.71,-0.39,4.08035230636597
0.54,0.7,-0.39,4.08035230636597
0.54,0.7,-0.39,4.08563089370728
0.54,0.7,-0.38,4.08563089370728
0.54,0.7,-0.38,4.08563089370728
0.54,0.69,-0.38,4.09090948104858
0.55,0.69,-0.37,4.09090948104858
0.55,0.69,-0.36,4.09090948104858
0.55,0.68,-0.36,4.08563089370728
0.55,0.68,-0.36,4.08563089370728
0.54,0.68,-0.34,4.08035230636597
0.55,0.68,-0.34,4.08035230636597
0.54,0.68,-0.34,4.08563089370728
0.55,0.68,-0.34,4.09090948104858
0.55,0.68,-0.34,4.09618806838989
0.54,0.68,-0.34,4.09618806838989
0.55,0.68,-0.34,4.09618806838989
0.55,0.68,-0.33,4.09090948104858
0.55,0.67,-0.33,4.09090948104858
0.55,0.68,-0.32,4.08563089370728
0.55,0.67,-0.33,4.08035230636597
0.55,0.68,-0.33,4.08035230636597
0.55,0.68,-0.32,4.08563089370728
0.56,0.68,-0.33,4.09090948104858
0.56,0.68,-0.33,4.09090948104858
0.55,0.68,-0.33,4.09618806838989
0.55,0.68,-0.33,4.09618806838989
0.55,0.68,-0.33,4.09618806838989
0.55,0.68,-0.33,4.08563089370728
0.55,0.68,-0.33,3.79530787467957
0.56,0.67,-0.34,3.52082109451294
0.56,0.67,-0.34,3.44692087173462
0.56,0.67,-0.34,3.38357782363892
0.56,0.67,-0.34,3.38357782363892
0.56,0.67,-0.33,3.3730206489563
0.56,0.66,-0.33,3.40469217300415
0.56,0.67,-0.33,3.44164228439331
