x_estimate,y_estimate,z_estimate,battery_voltage
0.6,0.72,-0.39,3.91143727302551
0.6,0.72,-0.38,3.9061586856842
0.6,0.72,-0.38,3.9061586856842
0.6,0.72,-0.38,3.91143727302551
0.6,0.72,-0.38,3.91143727302551
0.6,0.71,-0.38,3.91671586036682
0.6,0.71,-0.37,3.92199444770813
0.6,0.71,-0.37,3.91671586036682
0.6,0.71,-0.37,3.91671586036682
0.6,0.71,-0.38,3.91143727302551
0.59,0.71,-0.38,3.91143727302551
0.6,0.71,-0.38,3.9061586856842
0.6,0.71,-0.38,3.9061586856842
0.6,0.7,-0.38,3.91143727302551
0.6,0.72,-0.37,3.91671586036682
0.6,0.71,-0.38,3.92199444770813
0.59,0.72,-0.38,3.92199444770813
0.59,0.72,-0.39,3.92199444770813
0.59,0.72,-0.39,3.91671586036682
0.59,0.72,-0.39,3.91143727302551
0.59,0.72,-0.39,3.9061586856842
0.59,0.72,-0.39,3.9061586856842
0.59,0.72,-0.4,3.9061586856842
0.59,0.72,-0.38,3.91143727302551
0.58,0.72,-0.38,3.91671586036682
0.59,0.72,-0.38,3.91671586036682
0.59,0.72,-0.38,3.92199444770813
0.59,0.72,-0.38,3.91671586036682
0.59,0.72,-0.37,3.91671586036682
0.59,0.72,-0.37,3.91143727302551
0.59,0.71,-0.37,3.9061586856842
0.59,0.72,-0.37,3.9061586856842
0.59,0.72,-0.37,3.9061586856842
0.59,0.71,-0.37,3.91143727302551
0.58,0.71,-0.36,3.91143727302551
0.59,0.71,-0.36,3.91671586036682
0.58,0.71,-0.37,3.92199444770813
0.59,0.71,-0.36,3.92199444770813
0.59,0.72,-0.35,3.91671586036682
0.59,0.72,-0.36,3.91143727302551
0.59,0.72,-0.36,3.91143727302551
0.59,0.72,-0.36,3.9061586856842
0.58,0.72,-0.37,3.9061586856842
0.59,0.72,-0.37,3.91143727302551
0.59,0.72,-0.37,3.91143727302551
0.59,0.72,-0.37,3.92199444770813
0.58,0.72,-0.37,3.92199444770813
0.58,0.71,-0.37,3.92199444770813
0.58,0.72,-0.38,3.91671586036682
0.58,0.72,-0.38,3.91143727302551
0.58,0.72,-0.38,3.91143727302551
0.58,0.73,-0.39,3.9061586856842
0.58,0.72,-0.39,3.9061586856842
0.58,0.73,-0.39,3.91143727302551
0.58,0.72,-0.39,3.91671586036682
0.58,0.72,-0.39,3.92199444770813
0.58,0.72,-0.39,3.92199444770813
0.58,0.72,-0.39,3.92199444770813
0.58,0.72,-0.39,3.92199444770813
0.58,0.72,-0.39,3.91671586036682
0.58,0.72,-0.39,3.91143727302551
0.58,0.72,-0.39,3.9061586856842
0.58,0.72,-0.39,3.91143727302551
0.58,0.72,-0.39,3.91671586036682
0.58,0.72,-0.4,3.91671586036682
0.58,0.72,-0.4,3.91671586036682
0.57,0.72,-0.4,3.92199444770813
0.58,0.72,-0.39,3.92199444770813
0.57,0.73,-0.4,3.91671586036682
0.57,0.72,-0.4,3.91143727302551
0.57,0.73,-0.4,3.91143727302551
0.57,0.72,-0.4,3.9061586856842
0.57,0.72,-0.4,3.9061586856842
0.56,0.73,-0.4,3.91143727302551
0.56,0.73,-0.4,3.91671586036682
0.56,0.73,-0.4,3.92199444770813
0.56,0.73,-0.4,3.92199444770813
0.56,0.72,-0.4,3.92199444770813
0.56,0.73,-0.4,3.91143727302551
0.56,0.73,-0.4,3.9061586856842
0.56,0.73,-0.41,3.9061586856842
0.56,0.72,-0.39,3.9061586856842
0.56,0.72,-0.39,3.9061586856842
0.56,0.73,-0.39,3.9061586856842
0.56,0.73,-0.39,3.91143727302551
0.56,0.73,-0.4,3.91671586036682
0.56,0.73,-0.4,3.92199444770813
0.56,0.73,-0.4,3.91671586036682
0.56,0.73,-0.41,3.91671586036682
0.56,0.73,-0.4,3.91143727302551
0.56,0.73,-0.4,3.9061586856842
0.56,0.73,-0.41,3.9061586856842
0.56,0.73,-0.41,3.91143727302551
0.56,0.73,-0.41,3.91143727302551
0.56,0.73,-0.41,3.91143727302551
0.56,0.73,-0.41,3.91671586036682
0.56,0.73,-0.41,3.92199444770813
0.56,0.73,-0.41,3.92199444770813
0.56,0.73,-0.41,3.91671586036682
0.56,0.72,-0.4,3.91143727302551
0.56,0.73,-0.4,3.91143727302551
0.56,0.73,-0.4,3.9061586856842
0.56,0.73,-0.4,3.9061586856842
0.56,0.73,-0.4,3.28328466415405
0.56,0.73,-0.4,3.23577737808228
0.56,0.74,-0.4,3.08797669410706
0.56,0.74,-0.41,3.08797669410706
0.56,0.74,-0.41,3.0563051700592
0.57,0.73,-0.41,3.06158375740051
0.56,0.74,-0.41,3.08269810676575
0.56,0.74,-0.41,3.10909104347229
0.56,0.74,-0.42,3.14604115486145
0.56,0.74,-0.41,3.14604115486145
0.56,0.74,-0.41,3.18826985359192
0.56,0.74,-0.42,3.22522020339966
0.56,0.74,-0.42,3.26744890213013
0.56,0.74,-0.42,3.29384183883667
0.56,0.74,-0.43,3.32023477554321
0.56,0.74,-0.43,3.32023477554321
0.56,0.74,-0.43,3.33607053756714
0.56,0.74,-0.43,3.34662771224976
0.56,0.74,-0.43,3.35718488693237
0.56,0.73,-0.43,3.36246347427368
0.56,0.73,-0.43,3.3730206489563
0.55,0.74,-0.43,3.3730206489563
0.55,0.74,-0.43,3.37829923629761
0.55,0.73,-0.43,3.37829923629761
0.55,0.74,-0.43,3.37829923629761
0.55,0.73,-0.43,3.36774206161499
0.55,0.73,-0.43,3.36246347427368
0.55,0.74,-0.43,3.36246347427368
0.56,0.73,-0.43,3.34662771224976
0.56,0.74,-0.42,3.33607053756714
0.56,0.73,-0.42,3.33079195022583
0.56,0.73,-0.42,3.33079195022583
0.56,0.73,-0.42,3.33079195022583
0.56,0.73,-0.42,3.33079195022583
0.56,0.74,-0.41,3.33079195022583
0.56,0.74,-0.41,3.3149561882019
0.56,0.73,-0.41,3.3096776008606
0.56,0.73,-0.41,3.29912042617798
0.56,0.73,-0.4,3.28856325149536
0.56,0.73,-0.39,3.28856325149536
0.56,0.73,-0.39,3.28328466415405
0.56,0.73,-0.39,3.28328466415405
0.57,0.73,-0.38,3.27800607681274
0.57,0.73,-0.38,3.26744890213013
0.57,0.73,-0.38,3.26217031478882
0.57,0.73,-0.36,3.26217031478882
0.57,0.73,-0.35,3.24105596542358
0.57,0.73,-0.35,3.23049879074097
0.57,0.73,-0.34,3.23049879074097
0.56,0.73,-0.34,3.22522020339966
