x_estimate,y_estimate,z_estimate,battery_voltage
-0.02,0.95,0.43,4.11730241775513
-0.02,0.95,0.43,4.11202383041382
-0.02,0.95,0.42,4.10674524307251
-0.08,0.99,0.47,4.11202383041382
-0.07,0.96,0.44,4.11202383041382
-0.05,0.95,0.44,4.11202383041382
-0.01,0.94,0.42,4.11730241775513
-0.01,0.94,0.42,4.12258100509644
-0.01,0.95,0.41,4.11730241775513
-0.02,0.95,0.41,4.11730241775513
-0.07,0.97,0.45,4.11730241775513
-0.05,0.97,0.43,4.11202383041382
-0.05,0.97,0.43,4.11202383041382
0.01,0.94,0.4,4.11202383041382
0.02,0.92,0.4,4.11202383041382
0.02,0.92,0.4,4.11730241775513
0.02,0.92,0.4,4.11730241775513
0.02,0.92,0.39,4.11730241775513
0.02,0.92,0.39,4.11730241775513
0.02,0.92,0.39,4.11730241775513
0.04,0.92,0.37,4.11730241775513
0.05,0.9,0.35,4.11202383041382
0.05,0.91,0.34,4.11202383041382
0.07,0.9,0.33,4.10674524307251
0.08,0.91,0.33,4.11202383041382
0.08,0.91,0.33,4.11730241775513
0.08,0.9,0.32,4.11730241775513
0.08,0.9,0.33,4.12258100509644
0.09,0.9,0.32,4.12258100509644
0.09,0.9,0.32,4.12258100509644
0.01,0.93,0.38,4.11730241775513
0.02,0.91,0.36,4.11202383041382
0.04,0.9,0.35,4.11202383041382
0.05,0.89,0.36,4.11202383041382
0.05,0.89,0.36,4.11202383041382
-0.02,0.92,0.41,4.11202383041382
-0.01,0.94,0.39,4.11730241775513
-0.0,0.93,0.38,4.12258100509644
-0.06,0.95,0.44,4.12258100509644
-0.06,0.95,0.44,4.11730241775513
-0.04,0.94,0.43,4.11730241775513
-0.05,0.94,0.43,4.11202383041382
-0.01,0.94,0.4,4.11202383041382
-0.0,0.94,0.4,4.11202383041382
0.01,0.94,0.39,4.11730241775513
0.01,0.94,0.39,4.11730241775513
0.01,0.94,0.38,4.11730241775513
0.03,0.95,0.35,4.11730241775513
0.03,0.94,0.36,4.12258100509644
0.03,0.95,0.35,4.11730241775513
0.03,0.95,0.35,4.11202383041382
0.02,0.94,0.39,4.10674524307251
-0.05,0.96,0.45,4.10674524307251
-0.04,0.95,0.43,4.10674524307251
-0.02,0.94,0.42,4.11202383041382
-0.02,0.93,0.42,4.11202383041382
-0.02,0.91,0.43,4.11730241775513
-0.01,0.91,0.43,4.12258100509644
-0.01,0.92,0.41,4.12258100509644
0.01,0.9,0.41,4.11730241775513
0.04,0.9,0.39,4.11730241775513
0.04,0.9,0.39,4.11202383041382
0.08,0.88,0.36,4.11202383041382
0.08,0.89,0.34,4.11202383041382
0.1,0.88,0.34,4.11202383041382
0.1,0.87,0.34,4.11202383041382
0.1,0.86,0.34,4.11730241775513
0.13,0.85,0.32,4.11730241775513
0.13,0.86,0.31,4.12258100509644
0.17,0.86,0.28,4.11730241775513
0.19,0.84,0.27,4.11202383041382
0.19,0.84,0.26,4.11202383041382
0.11,0.86,0.33,4.11202383041382
0.12,0.85,0.33,4.11202383041382
0.14,0.85,0.31,4.11202383041382
0.16,0.85,0.29,4.11730241775513
0.16,0.85,0.29,4.11730241775513
0.19,0.84,0.28,4.11730241775513
0.18,0.84,0.27,4.12258100509644
0.22,0.83,0.25,4.11730241775513
0.22,0.83,0.24,4.11202383041382
0.23,0.83,0.24,4.11202383041382
0.27,0.82,0.22,4.11202383041382
0.26,0.81,0.22,4.11202383041382
0.28,0.81,0.2,4.11202383041382
0.28,0.82,0.18,4.11730241775513
0.29,0.82,0.18,4.11730241775513
0.3,0.81,0.17,4.12258100509644
