x_estimate,y_estimate,z_estimate,battery_voltage
0.49,0.67,-0.26,4.08563089370728
0.5,0.67,-0.26,4.08035230636597
0.5,0.67,-0.26,4.08035230636597
0.51,0.67,-0.26,4.09090948104858
0.5,0.67,-0.26,4.09090948104858
0.5,0.67,-0.27,4.09090948104858
0.5,0.67,-0.27,4.09618806838989
0.5,0.67,-0.27,4.09618806838989
0.5,0.68,-0.27,4.09090948104858
0.51,0.68,-0.27,4.08563089370728
0.51,0.67,-0.26,4.08035230636597
0.51,0.67,-0.25,4.08035230636597
0.51,0.67,-0.26,4.08035230636597
0.51,0.67,-0.26,4.08563089370728
0.51,0.67,-0.27,4.09090948104858
0.51,0.66,-0.27,4.09090948104858
0.51,0.66,-0.27,4.09618806838989
0.51,0.66,-0.27,4.09618806838989
0.51,0.66,-0.27,4.09090948104858
0.5,0.66,-0.27,4.08563089370728
0.51,0.66,-0.27,4.08035230636597
0.51,0.66,-0.27,4.08035230636597
0.51,0.66,-0.26,4.08035230636597
0.51,0.66,-0.27,4.08035230636597
0.51,0.66,-0.25,4.08563089370728
0.51,0.66,-0.25,4.09090948104858
0.5,0.66,-0.26,4.09090948104858
0.51,0.66,-0.26,4.09090948104858
0.5,0.66,-0.26,4.08563089370728
0.5,0.66,-0.27,4.08563089370728
0.5,0.67,-0.27,4.08035230636597
0.5,0.67,-0.27,4.07507371902466
0.5,0.67,-0.28,4.08035230636597
0.5,0.67,-0.28,4.08563089370728
0.5,0.67,-0.28,4.09090948104858
0.5,0.67,-0.28,4.09090948104858
0.5,0.68,-0.28,4.09090948104858
0.5,0.67,-0.29,4.09090948104858
0.5,0.67,-0.29,4.08563089370728
0.49,0.68,-0.29,4.08035230636597
0.5,0.67,-0.3,4.07507371902466
0.49,0.67,-0.29,4.07507371902466
0.49,0.67,-0.3,4.08035230636597
0.49,0.68,-0.3,4.08563089370728
0.5,0.66,-0.31,4.08563089370728
0.5,0.67,-0.32,4.09090948104858
0.49,0.67,-0.32,4.09618806838989
0.5,0.67,-0.32,4.09618806838989
0.5,0.67,-0.33,4.09090948104858
0.5,0.67,-0.33,4.08563089370728
0.49,0.67,-0.34,4.08035230636597
0.49,0.67,-0.34,4.08035230636597
0.49,0.67,-0.34,4.08563089370728
0.49,0.67,-0.35,4.08563089370728
0.49,0.67,-0.33,4.09090948104858
0.48,0.67,-0.34,4.09090948104858
0.48,0.66,-0.34,4.09618806838989
0.49,0.66,-0.34,4.09090948104858
0.49,0.66,-0.34,4.09090948104858
0.49,0.66,-0.33,4.09090948104858
0.49,0.67,-0.33,4.08035230636597
0.48,0.67,-0.34,4.08035230636597
0.49,0.67,-0.34,4.08035230636597
0.49,0.67,-0.33,4.08563089370728
0.49,0.67,-0.32,4.09090948104858
0.49,0.67,-0.32,4.09090948104858
0.49,0.67,-0.32,4.09090948104858
0.49,0.68,-0.32,4.09090948104858
0.49,0.68,-0.32,4.08563089370728
0.49,0.67,-0.33,4.08035230636597
0.5,0.68,-0.32,4.08035230636597
0.5,0.67,-0.33,4.08035230636597
0.5,0.68,-0.33,4.08035230636597
0.49,0.67,-0.32,4.08035230636597
0.5,0.67,-0.32,4.08563089370728
0.5,0.67,-0.32,4.09090948104858
0.5,0.67,-0.32,4.09090948104858
0.49,0.67,-0.33,4.09090948104858
0.49,0.67,-0.32,4.09090948104858
0.49,0.67,-0.32,4.08035230636597
0.48,0.67,-0.32,4.07507371902466
0.48,0.67,-0.32,4.07507371902466
0.49,0.68,-0.32,4.08035230636597
0.49,0.67,-0.32,4.08035230636597
0.49,0.67,-0.31,4.08563089370728
0.49,0.67,-0.32,4.09090948104858
0.49,0.67,-0.31,4.09618806838989
0.49,0.67,-0.31,4.09090948104858
0.49,0.67,-0.3,4.08563089370728
0.49,0.67,-0.31,4.08563089370728
0.49,0.67,-0.31,4.08035230636597
0.48,0.67,-0.31,4.07507371902466
0.48,0.68,-0.31,4.08035230636597
0.48,0.68,-0.31,4.08563089370728
0.48,0.68,-0.31,4.09090948104858
0.47,0.68,-0.32,4.09090948104858
0.47,0.68,-0.31,4.09618806838989
0.47,0.68,-0.31,4.09090948104858
0.47,0.68,-0.3,4.08563089370728
0.47,0.68,-0.31,4.08035230636597
0.47,0.68,-0.3,4.08035230636597
0.47,0.69,-0.31,4.08035230636597
0.47,0.68,-0.31,4.08035230636597
0.47,0.68,-0.31,3.54721426963806
0.47,0.68,-0.31,3.46803522109985
0.47,0.68,-0.31,3.36246347427368
0.47,0.68,-0.31,3.34134912490845
0.47,0.68,-0.31,3.34134912490845
0.47,0.69,-0.31,3.34662771224976
0.47,0.69,-0.32,3.36774206161499
0.46,0.69,-0.32,3.39941358566284
0.47,0.69,-0.32,3.42580652236938
0.46,0.69,-0.33,3.46803522109985
0.47,0.69,-0.32,3.46803522109985
0.47,0.7,-0.32,3.4944281578064
0.47,0.7,-0.33,3.52609968185425
0.47,0.7,-0.33,3.54721426963806
0.47,0.7,-0.34,3.56305003166199
0.47,0.7,-0.34,3.5683286190033
0.47,0.7,-0.34,3.5683286190033
0.47,0.7,-0.34,3.5736072063446
0.47,0.7,-0.34,3.57888579368591
0.47,0.7,-0.34,3.58416438102722
0.47,0.69,-0.34,3.59472155570984
0.47,0.7,-0.33,3.59472155570984
0.48,0.69,-0.33,3.59472155570984
0.48,0.69,-0.33,3.60000014305115
0.48,0.7,-0.32,3.60000014305115
0.49,0.7,-0.32,3.60000014305115
0.48,0.7,-0.33,3.60000014305115
0.48,0.7,-0.33,3.58944296836853
0.49,0.7,-0.34,3.58944296836853
0.49,0.7,-0.34,3.5736072063446
0.49,0.7,-0.33,3.55777144432068
0.49,0.69,-0.33,3.55249285697937
0.49,0.69,-0.33,3.54721426963806
0.49,0.69,-0.34,3.53665685653687
0.49,0.7,-0.34,3.53665685653687
0.49,0.69,-0.33,3.52082109451294
0.49,0.69,-0.33,3.50498533248901
0.49,0.69,-0.33,3.4944281578064
0.49,0.7,-0.33,3.48914957046509
0.49,0.7,-0.32,3.48387098312378
0.49,0.7,-0.33,3.48387098312378
0.49,0.7,-0.33,3.47331380844116
0.5,0.7,-0.33,3.46803522109985
0.5,0.71,-0.33,3.45747804641724
0.5,0.71,-0.33,3.44164228439331
0.5,0.71,-0.33,3.42580652236938
0.5,0.71,-0.33,3.42580652236938
0.5,0.71,-0.32,3.40469217300415
0.5,0.71,-0.32,3.39941358566284
0.5,0.7,-0.31,3.38357782363892
0.5,0.71,-0.31,3.39413499832153
0.5,0.7,-0.29,3.39413499832153
0.5,0.7,-0.29,3.39413499832153
0.5,0.7,-0.29,3.39413499832153
0.5,0.7,-0.29,3.39413499832153
0.5,0.7,-0.29,3.38357782363892
0.5,0.69,-0.28,3.3730206489563
0.5,0.68,-0.27,3.36774206161499
0.5,0.68,-0.27,3.36774206161499
0.5,0.68,-0.25,3.36774206161499
0.49,0.67,-0.25,3.3730206489563
0.49,0.67,-0.24,3.39413499832153
0.5,0.67,-0.23,3.40997076034546
0.49,0.66,-0.23,3.42052793502808
0.5,0.66,-0.22,3.42052793502808
