x_estimate,y_estimate,z_estimate,battery_voltage
0.55,0.66,-0.31,4.06451654434204
0.54,0.66,-0.31,4.06979513168335
0.54,0.66,-0.31,4.07507371902466
0.54,0.66,-0.31,4.08035230636597
0.54,0.66,-0.31,4.08035230636597
0.54,0.67,-0.31,4.08035230636597
0.54,0.67,-0.31,4.08035230636597
0.54,0.68,-0.3,4.06979513168335
0.54,0.68,-0.29,4.06979513168335
0.54,0.68,-0.28,4.06451654434204
0.54,0.68,-0.29,4.06451654434204
0.54,0.68,-0.29,4.06979513168335
0.54,0.69,-0.3,4.07507371902466
0.54,0.69,-0.3,4.08035230636597
0.54,0.68,-0.3,4.08035230636597
0.54,0.68,-0.3,4.08035230636597
0.54,0.68,-0.3,4.08035230636597
0.54,0.68,-0.31,4.07507371902466
0.54,0.68,-0.3,4.06979513168335
0.54,0.68,-0.31,4.06979513168335
0.54,0.68,-0.31,4.06979513168335
0.54,0.68,-0.32,4.07507371902466
0.54,0.68,-0.31,4.07507371902466
0.54,0.68,-0.31,4.07507371902466
0.54,0.69,-0.31,4.08035230636597
0.54,0.69,-0.31,4.08035230636597
0.54,0.69,-0.31,4.07507371902466
0.53,0.68,-0.31,4.07507371902466
0.53,0.68,-0.31,4.06979513168335
0.54,0.69,-0.31,4.06979513168335
0.54,0.69,-0.31,4.06451654434204
0.54,0.68,-0.32,4.06979513168335
0.54,0.68,-0.31,4.07507371902466
0.53,0.67,-0.3,4.08035230636597
0.53,0.67,-0.3,4.08035230636597
0.53,0.67,-0.3,4.08035230636597
0.53,0.67,-0.31,4.07507371902466
0.54,0.67,-0.3,4.07507371902466
0.53,0.67,-0.29,4.06451654434204
0.54,0.67,-0.29,4.06451654434204
0.53,0.67,-0.29,4.06451654434204
0.53,0.67,-0.29,4.06451654434204
0.53,0.67,-0.29,4.06979513168335
0.53,0.68,-0.29,4.07507371902466
0.53,0.68,-0.3,4.07507371902466
0.53,0.68,-0.29,4.08035230636597
0.53,0.68,-0.29,4.08035230636597
0.53,0.68,-0.29,4.07507371902466
0.53,0.68,-0.29,4.06979513168335
0.53,0.68,-0.29,4.06451654434204
0.53,0.69,-0.29,4.06979513168335
0.53,0.69,-0.3,4.06979513168335
0.53,0.69,-0.29,4.06979513168335
0.53,0.68,-0.3,4.07507371902466
0.53,0.68,-0.29,4.08035230636597
0.54,0.67,-0.3,4.08035230636597
0.53,0.68,-0.3,4.07507371902466
0.53,0.67,-0.29,4.06979513168335
0.53,0.67,-0.3,4.06451654434204
0.53,0.67,-0.3,4.06451654434204
0.53,0.67,-0.3,4.06451654434204
0.53,0.67,-0.3,4.07507371902466
0.54,0.67,-0.31,4.07507371902466
0.54,0.66,-0.31,4.08035230636597
0.54,0.67,-0.31,4.08035230636597
0.54,0.67,-0.31,4.08035230636597
0.54,0.67,-0.31,4.08035230636597
0.54,0.66,-0.31,4.07507371902466
0.54,0.67,-0.32,4.06451654434204
0.53,0.67,-0.32,4.06979513168335
0.54,0.67,-0.31,4.06979513168335
0.54,0.67,-0.31,4.06979513168335
0.54,0.66,-0.32,4.07507371902466
0.54,0.66,-0.32,4.08035230636597
0.54,0.66,-0.32,4.08035230636597
0.54,0.66,-0.32,4.08035230636597
0.54,0.66,-0.32,4.08035230636597
0.54,0.66,-0.32,4.07507371902466
0.53,0.66,-0.32,4.06979513168335
0.53,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.07507371902466
0.54,0.65,-0.32,4.08035230636597
0.54,0.65,-0.32,4.08035230636597
0.54,0.66,-0.32,4.06979513168335
0.54,0.66,-0.32,4.06979513168335
0.54,0.66,-0.32,4.06979513168335
0.54,0.66,-0.32,4.06451654434204
0.53,0.65,-0.33,4.06451654434204
0.53,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.06979513168335
0.53,0.65,-0.33,4.07507371902466
0.54,0.65,-0.32,4.07507371902466
0.54,0.65,-0.32,4.08035230636597
0.53,0.65,-0.32,4.07507371902466
0.54,0.65,-0.32,4.06979513168335
0.54,0.65,-0.32,4.06979513168335
0.54,0.65,-0.31,4.06451654434204
0.54,0.65,-0.31,4.06979513168335
0.54,0.64,-0.31,4.06979513168335
0.54,0.64,-0.31,3.5683286190033
0.54,0.65,-0.31,3.41524934768677
0.54,0.65,-0.31,3.32551336288452
0.54,0.65,-0.31,3.29384183883667
0.54,0.65,-0.3,3.29384183883667
0.54,0.65,-0.3,3.29384183883667
0.53,0.65,-0.3,3.3149561882019
0.54,0.65,-0.3,3.35718488693237
0.53,0.65,-0.3,3.38885641098022
0.53,0.65,-0.3,3.43108510971069
0.53,0.65,-0.3,3.43108510971069
0.53,0.65,-0.3,3.45747804641724
0.53,0.65,-0.3,3.47859239578247
0.52,0.64,-0.31,3.48387098312378
0.52,0.64,-0.31,3.49970674514771
0.52,0.64,-0.31,3.49970674514771
0.51,0.63,-0.31,3.49970674514771
0.51,0.63,-0.31,3.48914957046509
0.52,0.63,-0.31,3.48914957046509
0.52,0.63,-0.3,3.48914957046509
0.53,0.63,-0.31,3.48914957046509
0.53,0.63,-0.31,3.48387098312378
0.53,0.63,-0.3,3.48387098312378
0.53,0.64,-0.3,3.48387098312378
0.53,0.64,-0.3,3.47331380844116
0.53,0.64,-0.3,3.47859239578247
0.53,0.64,-0.3,3.47331380844116
0.53,0.64,-0.3,3.46803522109985
0.53,0.64,-0.31,3.46803522109985
0.53,0.64,-0.31,3.47859239578247
0.54,0.65,-0.31,3.46803522109985
0.54,0.65,-0.3,3.46275663375854
0.54,0.65,-0.3,3.45747804641724
0.54,0.64,-0.3,3.44692087173462
0.54,0.64,-0.3,3.44692087173462
0.54,0.64,-0.3,3.44164228439331
0.54,0.64,-0.3,3.43108510971069
0.54,0.63,-0.3,3.42052793502808
0.55,0.64,-0.3,3.40997076034546
0.55,0.63,-0.29,3.40469217300415
0.55,0.64,-0.29,3.40469217300415
0.55,0.64,-0.29,3.39941358566284
0.55,0.65,-0.29,3.40469217300415
0.55,0.65,-0.29,3.39413499832153
0.55,0.65,-0.29,3.37829923629761
0.56,0.66,-0.29,3.36246347427368
0.56,0.66,-0.29,3.36246347427368
0.56,0.66,-0.28,3.35190629959106
0.56,0.66,-0.28,3.34662771224976
0.56,0.67,-0.28,3.34662771224976
0.56,0.68,-0.27,3.34662771224976
0.55,0.68,-0.27,3.34134912490845
0.55,0.68,-0.26,3.34134912490845
0.56,0.69,-0.26,3.34134912490845
0.56,0.68,-0.25,3.33607053756714
0.56,0.69,-0.25,3.32551336288452
0.57,0.7,-0.24,3.32023477554321
0.56,0.7,-0.24,3.3149561882019
0.56,0.7,-0.24,3.3149561882019
0.57,0.71,-0.23,3.3149561882019
0.56,0.7,-0.23,3.3096776008606
0.56,0.7,-0.22,3.30439901351929
0.56,0.71,-0.22,3.3096776008606
0.56,0.71,-0.21,3.3096776008606
0.56,0.71,-0.2,3.3096776008606
0.57,0.72,-0.19,3.32023477554321
0.57,0.72,-0.17,3.32551336288452
0.57,0.73,-0.16,3.34134912490845
0.57,0.72,-0.15,3.36246347427368
0.58,0.73,-0.13,3.38885641098022
0.57,0.74,-0.13,3.38885641098022
0.57,0.74,-0.12,3.41524934768677
0.58,0.74,-0.12,3.45747804641724
0.57,0.74,-0.12,3.47331380844116
0.58,0.73,-0.1,3.48914957046509
0.58,0.74,-0.09,3.49970674514771
0.58,0.73,-0.08,3.49970674514771
0.58,0.74,-0.07,3.51026391983032
0.58,0.74,-0.06,3.51554250717163
0.58,0.74,-0.04,3.52082109451294
0.58,0.74,-0.04,3.52609968185425
0.59,0.74,-0.02,3.53137826919556
0.59,0.74,-0.02,3.53137826919556
0.59,0.73,-0.02,3.53665685653687
0.59,0.74,-0.01,3.53137826919556
0.59,0.74,0.02,3.53137826919556
0.59,0.73,0.03,3.52609968185425
0.59,0.74,0.04,3.53665685653687
0.59,0.73,0.06,3.53665685653687
0.6,0.73,0.07,3.54721426963806
0.6,0.73,0.08,3.56305003166199
0.6,0.73,0.1,3.57888579368591
0.6,0.73,0.11,3.60000014305115
0.6,0.72,0.13,3.61055731773376
0.61,0.73,0.14,3.61055731773376
0.61,0.73,0.14,3.62639307975769
0.6,0.73,0.16,3.631671667099
0.6,0.72,0.16,3.64750742912292
0.6,0.72,0.17,3.65278601646423
0.6,0.72,0.18,3.65806460380554
0.6,0.71,0.19,3.65806460380554
0.6,0.7,0.21,3.66334319114685
0.6,0.7,0.21,3.66334319114685
0.6,0.69,0.22,3.66334319114685
0.61,0.69,0.23,3.66334319114685
0.61,0.69,0.24,3.65806460380554
0.61,0.68,0.26,3.65806460380554
0.61,0.68,0.27,3.65278601646423
0.61,0.67,0.28,3.65806460380554
0.61,0.67,0.3,3.67390036582947
0.61,0.67,0.31,3.67917895317078
0.62,0.67,0.32,3.68445754051208
0.62,0.66,0.34,3.68445754051208
0.62,0.65,0.35,3.68973612785339
0.61,0.65,0.35,3.68973612785339
0.61,0.64,0.36,3.68973612785339
0.61,0.64,0.37,3.67917895317078
0.61,0.64,0.37,3.67917895317078
0.61,0.63,0.38,3.67917895317078
0.61,0.63,0.39,3.67917895317078
0.61,0.62,0.4,3.67917895317078
0.61,0.62,0.41,3.67917895317078
0.61,0.62,0.42,3.67917895317078
0.61,0.61,0.42,3.67390036582947
0.6,0.6,0.43,3.67390036582947
0.6,0.6,0.43,3.66862177848816
0.6,0.6,0.44,3.65806460380554
0.6,0.59,0.44,3.65278601646423
0.6,0.59,0.45,3.65278601646423
0.59,0.59,0.46,3.64750742912292
0.59,0.58,0.46,3.64750742912292
0.59,0.58,0.46,3.64750742912292
0.58,0.58,0.46,3.64222884178162
0.58,0.58,0.46,3.631671667099
0.58,0.57,0.47,3.62639307975769
0.58,0.57,0.48,3.60527873039246
0.58,0.57,0.48,3.60527873039246
0.58,0.57,0.48,3.60527873039246
0.58,0.57,0.48,3.60000014305115
0.57,0.57,0.48,3.59472155570984
0.57,0.56,0.49,3.59472155570984
0.57,0.57,0.5,3.58944296836853
0.57,0.56,0.5,3.59472155570984
0.57,0.56,0.5,3.59472155570984
0.57,0.56,0.51,3.58944296836853
0.56,0.56,0.52,3.58416438102722
0.56,0.57,0.52,3.57888579368591
0.56,0.57,0.52,3.58416438102722
0.56,0.57,0.52,3.58416438102722
0.56,0.57,0.53,3.58944296836853
0.55,0.57,0.53,3.59472155570984
0.55,0.57,0.53,3.59472155570984
0.55,0.57,0.53,3.58944296836853
0.55,0.57,0.53,3.57888579368591
0.55,0.57,0.52,3.57888579368591
0.55,0.57,0.52,3.5683286190033
0.54,0.57,0.52,3.55777144432068
0.54,0.57,0.52,3.55249285697937
0.54,0.57,0.51,3.54193544387817
0.53,0.57,0.51,3.53665685653687
0.53,0.57,0.51,3.53665685653687
0.53,0.58,0.51,3.53137826919556
0.53,0.58,0.51,3.52082109451294
0.52,0.58,0.51,3.51554250717163
0.52,0.58,0.51,3.50498533248901
0.53,0.58,0.5,3.49970674514771
0.52,0.58,0.5,3.49970674514771
0.53,0.58,0.5,3.49970674514771
0.52,0.58,0.49,3.49970674514771
0.52,0.59,0.49,3.49970674514771
0.52,0.59,0.49,3.49970674514771
0.51,0.59,0.49,3.4944281578064
0.51,0.59,0.5,3.49970674514771
0.51,0.6,0.49,3.49970674514771
0.51,0.59,0.48,3.49970674514771
0.5,0.6,0.48,3.4944281578064
0.5,0.6,0.48,3.47331380844116
0.5,0.61,0.48,3.47859239578247
0.5,0.61,0.48,3.47859239578247
0.5,0.61,0.47,3.47331380844116
